city,state,country,latitude,longitude,coastal,koppen_climate,continent,total_population_metropolitan_area,total_population_metropolitan_area_citation,population_density_km2,population_density_km2 citation,land_area_km2,land_area_km2 citation ,elevation_above_sea_level_meters,ave_june_temp_celsius,number_of_hospitals ,number_of_hospitals citation,green_space_km2,number_sewage_treatment_plants,average_building_height_meters,average_income_of_resident,number_of_tourists_annually,number of tourist annually citation,peak_tourism_month,annual_mass_transit_ridership,average_age_of_residents,antimicrobial_usage
tokyo,,Japan,35.6895,139.69171,yes,humid_subtropical_climate,east_asia,"37,340,000",https://www.macrotrends.net/cities/21671/tokyo/population,"6,224",https://worldpopulationreview.com/world-cities/tokyo-population,2194.07,https://en.wikipedia.org/wiki/Tokyo,40,21.7,650,https://en.wikipedia.org/wiki/List_of_hospitals_in_Japan,,,,,15200000.00 ,http://www.xinhuanet.com/english/2018-04/05/c_137088807.htm,,,,
ilorin,Kwara,Nigeria,8.49664,4.54214,no,tropical_savanna_climate,sub_saharan_africa,"777,667",https://en.wikipedia.org/wiki/List_of_Nigerian_cities_by_population,"1,016",https://en.wikipedia.org/wiki/List_of_Nigerian_cities_by_population,765,https://en.wikipedia.org/wiki/Ilorin,310,25.6,11,https://www.finelib.com/cities/ilorin/health,,,,,,,,,,
singapore,,Republic of Singapore,1.28967,103.85007,yes,tropical_rainforest_climate,east_asia,"5,992,000",https://www.macrotrends.net/cities/22447/singapore/population,"8,358",https://www.worldometers.info/world-population/singapore-population/,728,https://en.wikipedia.org/wiki/Singapore,163.63,29.2,23,https://www.uexglobal.com/en-sg/blog/hospitals/list-of-hospitals-in-singapore,,,,,19100000.00 ,https://www.statista.com/statistics/977993/total-international-visitor-arrivals-singapore/,,,,
new_york_city,New York,USA,40.71427,-74.00597,yes,humid_subtropical_climate,north_america,"18,823,000",https://www.macrotrends.net/cities/23083/new-york-city/population,38242,https://www.6sqft.com/see-how-nycs-urban-density-stacks-up-against-other-major-cities/,777.95,https://en.wikipedia.org/wiki/New_York_City,10,23.3,62,https://www.beckershospitalreview.com/lists/62-acute-care-hospitals-in-new-york-city.html,165.8,14,,,62200000.00 ,https://en.wikipedia.org/wiki/Tourism_in_New_York_City,July ,,,
london,,England,51.50853,-0.12574,no,marine_west_coast_climate,europe,"9,426,000",https://www.macrotrends.net/cities/22860/london/population,"5,701",https://www.ons.gov.uk/peoplepopulationandcommunity/populationandmigration/populationestimates/bulletins/annualmidyearpopulationestimates/mid2019,1572,https://en.wikipedia.org/wiki/London,11,14.4,298,"https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&TRANS=Hospitals%20in%20London,%20United%20Kingdom&CON=Europe&COUNTRY=Great_Britain&CITY=London&choice=en",,,,,30000000.00 ,https://www.condorferries.co.uk/uk-tourism-statistics,,,,
hong_kong,,China,22.28552,114.15769,yes,humid_subtropical_climate,east_asia,"7,598,000",https://www.macrotrends.net/cities/21137/hong-kong/population,"7,193",https://www.google.com/search?client=safari&rls=en&sxsrf=ALeKk01oscUOXMUJ49fols-OYG-fXsPncg%3A1612077828354&ei=BFsWYNOBFYrl5gL107DADQ&q=population+density+hong+kong&oq=population+density+hong+kong&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgIIADIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOgQIABBHOgQIIxAnOgUIABCxAzoHCAAQFBCHAlDlDljmGGCUGWgAcAF4AIABV4gBjgaSAQIxMJgBAKABAaoBB2d3cy13aXrIAQjAAQE&sclient=psy-ab&ved=0ahUKEwjTk7zy0cXuAhWKslkKHfUpDNgQ4dUDCAw&uact=5,1073,https://en.wikipedia.org/wiki/Geography_of_Hong_Kong,957,30.3,43,https://www.ha.org.hk/visitor/ha_visitor_index.asp?Content_ID=10036&Lang=ENG&Ver=HTML,,,,,56000000.00 ,https://www.reuters.com/article/us-health-coronavirus-hongkong-tourism/hong-kong-worlds-most-visited-city-faces-tourism-bust-idUSKBN28003Y,,,,
sofia,,Bulgaria,42.7,23.33,no,marine_west_coast_climate,europe,"1,284,000",https://www.macrotrends.net/cities/20327/sofia/population,960,https://www.novinite.com/articles/144064/Sofia+Trails+EU+Capitals+by+Population+Density,492,https://en.wikipedia.org/wiki/Sofia,500,19,15,https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&CON=Europe&COUNTRY=Bulgaria&CITY=Sofia&choice=en,,,,,992075.00 ,https://investsofia.com/wp-content/uploads/2019/10/Sofia-Tourism-and-Air-Transport-Market-Report-2019-ENG.pdf,,,,
yamaguchi,,Japan,34,131,yes,humid_subtropical_climate,east_asia,198.971,https://en.wikipedia.org/wiki/Yamaguchi_(city),194.44,https://en.wikipedia.org/wiki/Yamaguchi_(city),1023,https://en.wikipedia.org/wiki/Yamaguchi_(city),157,21.8,4,https://en.wikipedia.org/wiki/List_of_hospitals_in_Japan#Yamaguchi,,,,,,,,,,
zurich,,Switzerland,47,8,no,marine_west_coast_climate,europe,"1,408,000",https://www.macrotrends.net/cities/22606/zurich/population,"4,700",https://worldpopulationreview.com/world-cities/zurich-population,87.88,https://en.wikipedia.org/wiki/Z¨¹rich,408,16,37,"https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&TRANS=Hospitals%20in%20Zurich,%20Switzerland&CON=Europe&COUNTRY=Switzerland&CITY=Zurich&choice=en",,,,,,,,,,
mexico_city,Mexico City ,Mexico,19,99,no,oceanic_subtropical_highland_climate,north_america,"21,919,000",https://www.macrotrends.net/cities/21853/mexico-city/population,"6,000",https://www.worldscapitalcities.com/capital-facts-for-mexico-city-mexico/,1485,https://en.wikipedia.org/wiki/Mexico_City,2250,18,80,https://en.wikipedia.org/wiki/List_of_hospitals_in_Mexico,,,,,8700000.00 ,https://www.statista.com/statistics/806010/number-international-tourists-mexico-city/,,,,
shanghai,,China,31,121,yes,humid_subtropical_climate,east_asia,"27,796,000",https://www.macrotrends.net/cities/20656/shanghai/population,"3,823",https://www.statista.com/statistics/1081875/china-population-density-in-shanghai-by-district/,6384,https://en.wikipedia.org/wiki/Shanghai,4,24,33,https://en.wikipedia.org/wiki/List_of_hospitals_in_China#Shanghai,,,,,162000000.00 ,https://www.statista.com/statistics/1133133/china-number-of-inbound-domestic-tourists-in-shanghai/,,,,
offa,Kwara,Nigeria,8,4,no,tropical_savanna_climate,sub_saharan_africa,"120,100",https://www.citypopulation.de/php/nigeria-admin.php?adm2id=NGA024013,1262,https://www.citypopulation.de/php/nigeria-admin.php?adm2id=NGA024013,95.2,https://www.citypopulation.de/php/nigeria-admin.php?adm2id=NGA024013,435,,13,https://www.directory.org.ng/lg-hospitals_clinics?lga=kwara_offa,,,,,,,,,,
hanoi,,Vietnam,21,105,no,humid_subtropical_climate,east_asia,"4,870,000",https://worldpopulationreview.com/world-cities/hanoi-population,"2,300",https://worldpopulationreview.com/world-cities/hanoi-population,3358.6,https://en.wikipedia.org/wiki/Hanoi,16,29,6,https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&CON=Southeast_Asia&COUNTRY=Vietnam&CITY=Hanoi,,,,,28000000.00 ,https://www.vietnam-briefing.com/news/vietnams-tourism-industry-continues-growth-2018.html/,,,,
marseille,,France,43,5,yes,hot-summer_mediterranean_climate,europe,"1,614,000",https://www.macrotrends.net/cities/20973/marseille-aix-en-provence/population,"3,500",https://worldpopulationreview.com/world-cities/marseille-population,240.62,https://en.wikipedia.org/wiki/Hanoi,0,29,18,google maps,,,,,4100000.00 ,https://en.wikipedia.org/wiki/Marseille,,,,
belfast,,Ireland,54.5964411,-5.9302761,yes,warm summer continental climate,europe,"635,000",https://www.macrotrends.net/cities/206480/belfast/population,"2,500",https://worldpopulationreview.com/world-cities/belfast-population,132.5,https://en.wikipedia.org/wiki/Belfast,63,,11,https://sluggerotoole.com/2015/01/28/does-northern-ireland-have-too-many-hospitals/,,,,,4700000.00 ,https://www.belfastcity.gov.uk/getmedia/45e2ab75-fcfa-4cc9-b319-796f89d5ce43/DPS011_TS05.pdf,,,,
birmingham,,England,52.5,-1.9,no ,marine_west_coast_climate,europe,"849,000",https://www.macrotrends.net/cities/22936/birmingham/population,"4,200",https://worldpopulationreview.com/world-cities/birmingham-population,267,https://en.wikipedia.org/wiki/Birmingham,140,,14,https://en.wikipedia.org/wiki/List_of_hospitals_in_England,,,,,41800000.00 ,https://www.insidermedia.com/news/midlands/record-year-for-birminghams-tourist-sector,,,,
bradford,,England,53.8,-1.75,no ,marine_west_coast_climate,europe,"539,776",https://en.wikipedia.org/wiki/City_of_Bradford,"3,468",https://worldpopulationreview.com/world-cities/bradford-population,370,https://en.wikipedia.org/wiki/City_of_Bradford,134,,19,google maps,,,,,8600000.00 ,https://www.thetelegraphandargus.co.uk/news/9121256.why-tourism-is-on-the-increase-in-the-bradford-district/,,,,
bury,,England,49.3132772,2.3439338,no ,marine_west_coast_climate,europe,"78,723","https://en.wikipedia.org/wiki/Bury,_Greater_Manchester",2618,"https://en.wikipedia.org/wiki/Bury,_Greater_Manchester",30.1,"https://en.wikipedia.org/wiki/Bury,_Greater_Manchester",304,,4,https://www.hospitalsworldguide.com/hospitals-in-france/p-hospitals-in-oise/,,,,,756000.00 ,https://www.visit-burystedmunds.co.uk/blog/2018/record-breaking-tourism-year-for-bury-st-edmunds,,,,
bristol,,England,53.59,2.297,yes,marine_west_coast_climate,europe,"1,020,000",https://worldpopulationreview.com/world-cities/bristol-population,"3,892",https://worldpopulationreview.com/world-cities/bristol-population,110,https://en.wikipedia.org/wiki/Bristol,11,,17,https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&CON=Europe&COUNTRY=Great_Britain&CITY=Bristol,,,,,20500000.00 ,https://visitbristol.co.uk/about/about-bristols-tourism-economy,,,,
cairngorm,,,,,,,europe,,,,,292,https://en.wikipedia.org/wiki/Cairngorms,,,,,,,,,1920000.00 ,https://cairngorms.co.uk/discover-explore/facts-figures/,,,,
eastbourne,,England,50.7685761,0.2957854,yes,marine_west_coast_climate,europe,"103,745",https://en.wikipedia.org/wiki/Eastbourne,"2,336",https://en.wikipedia.org/wiki/Eastbourne,44.16,https://en.wikipedia.org/wiki/Eastbourne,34,,1,https://en.wikipedia.org/wiki/List_of_hospitals_in_England,,,,,4900000.00 ,https://www.visiteastbourne.com/dbimgs/Fast%20Facts%202017.pdf,,,,
eden,,England,51.196,0.0655,no,marine_west_coast_climate,europe,"9,004",https://www.citypopulation.de/en/uk/southeastengland/kent/E34003851__edenbridge/,"3,807",https://www.citypopulation.de/en/uk/southeastengland/kent/E34003851__edenbridge/,2.37,https://www.citypopulation.de/en/uk/southeastengland/kent/E34003851__edenbridge/,79,,,,,,,,,,,,,
Edinborough                                                                    Scotland                55.95,,,,3.19,yes,marine_west_coast_climate,europe,"901,455",https://en.wikipedia.org/wiki/Edinburgh,"1,828",https://en.wikipedia.org/wiki/Edinburgh,264,https://en.wikipedia.org/wiki/Edinburgh,47,,,,,,,,4260000.00 ,https://www.scotsman.com/arts-and-culture/edinburgh-festivals/edinburgh-named-one-worlds-most-serious-overtourism-hotspots-544625,,,,
islington,,England,51.5,-0.099,no,marine_west_coast_climate,europe,"206,125",https://en.wikipedia.org/wiki/Islington,"13,871",https://en.wikipedia.org/wiki/Islington,14.86,https://en.wikipedia.org/wiki/Islington,34,,6,https://www.islingtonccg.nhs.uk/YourHealth/hospitals.htm,,,,,,,,,,
jaywick,,England,51.7781775,1.1171949,yes,marine_west_coast_climate,europe,5165,https://www.citypopulation.de/en/uk/eastofengland/essex/E34004177__jaywick/,2380,https://www.citypopulation.de/en/uk/eastofengland/essex/E34004177__jaywick/,2.17,https://www.citypopulation.de/en/uk/eastofengland/essex/E34004177__jaywick/,18,,4,google maps,,,,,,,,,,
kensington,,England,51.4989948,-0.1991229,no,marine_west_coast_climate,europe,"156,129",https://en.wikipedia.org/wiki/Royal_Borough_of_Kensington_and_Chelsea,"33,000",https://en.wikipedia.org/wiki/Royal_Borough_of_Kensington_and_Chelsea,12.13,https://en.wikipedia.org/wiki/Royal_Borough_of_Kensington_and_Chelsea,14,,10,http://www.inkensington.co.uk/local-information/hospitals.html,,,,,5300000.00 ,https://www.scotsman.com/arts-and-culture/edinburgh-festivals/edinburgh-named-one-worlds-most-serious-overtourism-hotspots-544625,,,,
lands_end,,England,50.0662633,-5.7148222,yes,marine_west_coast_climate,europe,,,,,3546,https://www.britannica.com/place/Lands-End,,,0,google maps,,,,,,,,,,
newcastle,,England,54.9738474,-1.6131572,yes,marine_west_coast_climate,europe,"302,820",https://en.wikipedia.org/wiki/Newcastle_upon_Tyne,2646,https://en.wikipedia.org/wiki/Newcastle_upon_Tyne,113.5,https://en.wikipedia.org/wiki/Newcastle_upon_Tyne,56,,9,https://apps.allianzworldwidecare.com/poi/hospital-doctor-and-health-practitioner-finder?PROVTYPE=HOSPITALS&CON=Europe&COUNTRY=Great_Britain&CITY=Newcastle-upon-Tyne,,,,,,,,,,
swansea,,Wales,51.6195955,-3.9459248,yes,marine_west_coast_climate,europe,"313,000",https://www.macrotrends.net/cities/22882/swansea/population,651,https://www.swansea.gov.uk/population_density,380,https://en.wikipedia.org/wiki/Swansea,65,,2,https://en.wikipedia.org/wiki/List_of_hospitals_in_Wales,,,,,,,,,,
tsuruoka,,Japan,38.7272187,139.8266292,yes,humid_subtropical_climate,asia,"125,389",https://en.wikipedia.org/wiki/Tsuruoka,95.7,https://en.wikipedia.org/wiki/Tsuruoka,1311.53,https://en.wikipedia.org/wiki/Tsuruoka,16,,1,https://en.wikipedia.org/wiki/List_of_hospitals_in_Japan,,,,,,,,,,
fukuoka,,Japan,33.6251241,130.6180016,yes,humid_subtropical_climate,asia,"5,516,000",https://www.macrotrends.net/cities/204586/kitakyushu-fukuoka/population,"4,600",https://en.wikipedia.org/wiki/Fukuoka,343.39,https://en.wikipedia.org/wiki/Fukuoka,8,,1,https://en.wikipedia.org/wiki/List_of_hospitals_in_Japan#Fukuoka,,,,,,,,,,
st_louis,Missouri,USA,38.6529545,-90.2411166,no ,humid_subtropical_climate,north_america,"2,216,000",https://www.macrotrends.net/cities/23152/st-louis/population,"1,844",https://worldpopulationreview.com/us-cities/st-louis-mo-population,159.92,https://en.wikipedia.org/wiki/St._Louis,142,,34,https://en.wikipedia.org/wiki/List_of_hospitals_in_St._Louis,,,,,,,,,,
sydney,New South Wales ,Australia,-33.8548157,151.2164539,yes,humid_subtropical_climate,oceania,"4,992,000",https://www.macrotrends.net/cities/206167/sydney/population,"9,212",https://www.cityofsydney.nsw.gov.au/guides/city-at-a-glance,"12,367",https://en.wikipedia.org/wiki/Sydney,19,,19,google maps,,,,,,,,,,
ribeirao_preto                                                                   Brazil                  -21.25,,,,-47.8,no,tropical_savanna_climate,south_america,"724,000",https://www.macrotrends.net/cities/20269/ribeirao--preto/population,"1,100",https://en.wikipedia.org/wiki/Ribeir?o_Preto,650.9,https://en.wikipedia.org/wiki/Ribeir?o_Preto,520,,19,google maps,,,,,,,,,,
seoul,,South Korea,,,,,east_asia,,,,,,,,,,,,,,,,,,,,
